Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,Name,Industry,PayoutRatio,Adj Close
2018-01-02,8717.240741278621,8739.338678462815,8615.248459218757,8723.939453125,297474.0,0.0,0.0,LTM.SN,LATAM Airlines Group S.A.,Airlines,0.0,
2018-01-03,8723.93767129587,8789.333099972942,8599.34751533189,8661.8427734375,1505876.0,0.0,0.0,LTM.SN,LATAM Airlines Group S.A.,Airlines,0.0,
2018-01-04,8661.843682344399,8799.333264603833,8649.344629411722,8789.833984375,480456.0,0.0,0.0,LTM.SN,LATAM Airlines Group S.A.,Airlines,0.0,
2018-01-05,8799.333062132993,8919.323967525715,8804.332683191024,8903.125,780612.0,0.0,0.0,LTM.SN,LATAM Airlines Group S.A.,Airlines,0.0,
2018-01-08,8999.11802489617,9098.310705298347,8869.528233338962,9087.51171875,911005.0,0.0,0.0,LTM.SN,LATAM Airlines Group S.A.,Airlines,0.0,
2018-01-09,9089.311205996026,9299.29529326326,9089.311205996026,9201.1025390625,749431.0,0.0,0.0,LTM.SN,LATAM Airlines Group S.A.,Airlines,0.0,
2018-01-10,9249.200934214674,9249.200934214674,9129.309610184262,9194.404296875,441741.0,0.0,0.0,LTM.SN,LATAM Airlines Group S.A.,Airlines,0.0,
2018-01-11,9194.403021488786,9289.296222799334,9175.304859031936,9267.7978515625,945319.0,0.0,0.0,LTM.SN,LATAM Airlines Group S.A.,Airlines,0.0,
2018-01-12,9267.798125679441,9679.266964080163,9267.798125679441,9645.369140625,793469.0,0.0,0.0,LTM.SN,LATAM Airlines Group S.A.,Airlines,0.0,
2018-01-15,9646.269183446146,9789.258350361539,9603.97258321573,9654.568359375,378425.0,0.0,0.0,LTM.SN,LATAM Airlines Group S.A.,Airlines,0.0,
2018-01-17,9649.269280682005,10498.204992526464,9509.27988179128,9994.1435546875,727336.0,0.0,0.0,LTM.SN,LATAM Airlines Group S.A.,Airlines,0.0,
2018-01-18,9999.242322198275,10120.233154296875,9649.268840921337,10091.2353515625,903118.0,0.0,0.0,LTM.SN,LATAM Airlines Group S.A.,Airlines,0.0,
2018-01-19,10099.235854448612,10448.209449815204,10010.242588008421,10196.228515625,323301.0,0.0,0.0,LTM.SN,LATAM Airlines Group S.A.,Airlines,0.0,
2018-01-22,10309.219261249016,10301.219867059881,10026.24069180833,10161.23046875,533435.0,0.0,0.0,LTM.SN,LATAM Airlines Group S.A.,Airlines,0.0,
2018-01-23,10161.229845092195,10189.227723035767,10029.239849072497,10127.232421875,305714.0,0.0,0.0,LTM.SN,LATAM Airlines Group S.A.,Airlines,0.0,
2018-01-24,10128.232724876332,10197.227498103352,9999.242496669298,10132.232421875,242603.0,0.0,0.0,LTM.SN,LATAM Airlines Group S.A.,Airlines,0.0,
2018-01-25,10089.235428198785,10284.220652034142,10129.232397190654,10206.2265625,426445.0,0.0,0.0,LTM.SN,LATAM Airlines Group S.A.,Airlines,0.0,
2018-01-26,10099.234537649056,10289.220137862256,10095.234840802463,10230.224609375,224319.0,0.0,0.0,LTM.SN,LATAM Airlines Group S.A.,Airlines,0.0,
2018-01-29,10289.219480532565,10498.203627416075,10199.226307233448,10466.2060546875,442048.0,0.0,0.0,LTM.SN,LATAM Airlines Group S.A.,Airlines,0.0,
2018-01-30,10479.206853331067,10479.206853331067,10149.231828369306,10296.220703125,313865.0,0.0,0.0,LTM.SN,LATAM Airlines Group S.A.,Airlines,0.0,
2018-01-31,10299.220143743973,10439.209543756027,10235.224989452749,10369.21484375,525378.0,0.0,0.0,LTM.SN,LATAM Airlines Group S.A.,Airlines,0.0,
2018-02-01,10399.213060734051,10399.213060734051,10219.226680836731,10298.220703125,320593.0,0.0,0.0,LTM.SN,LATAM Airlines Group S.A.,Airlines,0.0,
2018-02-02,10282.22248479246,10299.221199393402,9969.246151257497,10086.2373046875,306120.0,0.0,0.0,LTM.SN,LATAM Airlines Group S.A.,Airlines,0.0,
